ID	Latitude	Longitude	index	sensor_id
311847	38.427441	-121.487404	0	311847
311903	38.566948	-121.506049	1	311903
311973	38.562963	-121.491176	2	311973
311974	38.563563	-121.493321	3	311974
312009	38.56453	-121.496992	4	312009
312010	38.563789	-121.493211	5	312010
312098	38.558884	-121.475138	6	312098
312099	38.558836	-121.474779	7	312099
312103	38.561005	-121.462852	8	312103
312108	38.559006	-121.473917	9	312108
312132	38.409697	-121.484102	10	312132
312133	38.42863	-121.487657	11	312133
312134	38.412564	-121.484319	12	312134
312139	38.562532	-121.48956	13	312139
312188	38.551231	-121.430307	14	312188
312205	38.55209	-121.417282	15	312205
312220	38.55435	-121.407106	16	312220
312233	38.467834	-121.416092	17	312233
312236	38.555045	-121.440194	18	312236
312264	38.558393	-121.383725	19	312264
312326	38.632837	-121.502546	20	312326
312343	38.633144	-121.501332	21	312343
312346	38.634292	-121.499778	22	312346
312382	38.472175	-121.420424	23	312382
312386	38.477202	-121.425725	24	312386
312388	38.48154	-121.430356	25	312388
312420	38.484941	-121.434178	26	312420
312421	38.488781	-121.438055	27	312421
312422	38.494914	-121.444557	28	312422
312425	38.498256	-121.448118	29	312425
312439	38.634771	-121.498277	30	312439
312513	38.503254	-121.453395	786	312513
312514	38.509693	-121.459386	31	312514
312517	38.511798	-121.460836	32	312517
312520	38.51236	-121.460827	33	312520
312523	38.519554	-121.46462	34	312523
312525	38.52394	-121.466959	35	312525
312526	38.524356	-121.467177	36	312526
312527	38.526685	-121.468411	37	312527
312528	38.527234	-121.468703	38	312528
312529	38.52516	-121.467601	39	312529
312530	38.533712	-121.472405	40	312530
312562	38.542033	-121.4737	41	312562
312563	38.542381	-121.473702	42	312563
312564	38.545438	-121.473985	43	312564
312566	38.55419	-121.474301	44	312566
312570	38.446976	-121.405903	45	312570
312648	38.45578	-121.409874	46	312648
312651	38.45731	-121.410614	47	312651
312689	38.568104	-121.469267	48	312689
312694	38.574692	-121.466428	49	312694
312745	38.579355	-121.46446	50	312745
312757	38.596473	-121.443813	51	312757
312758	38.596473	-121.443813	52	312758
312771	38.597692	-121.443168	53	312771
312782	38.604957	-121.433193	54	312782
312804	38.610789	-121.426939	55	312804
312807	38.612657	-121.424917	56	312807
312852	38.560257	-121.472941	57	312852
312854	38.575167	-121.466517	58	312854
312856	38.584661	-121.458691	59	312856
312857	38.585454	-121.451307	60	312857
312858	38.601169	-121.437541	787	312858
312865	38.591949	-121.445317	61	312865
312895	38.615045	-121.422286	62	312895
312896	38.624557	-121.415907	63	312896
312898	38.626589	-121.410943	64	312898
312900	38.630273	-121.402873	65	312900
312940	38.631143	-121.399923	66	312940
312942	38.635616	-121.388435	67	312942
312944	38.638354	-121.384634	68	312944
312946	38.639341	-121.383856	69	312946
313000	38.55899	-121.378233	70	313000
313003	38.564145	-121.340221	71	313003
313005	38.566451	-121.335551	72	313005
313010	38.578546	-121.308187	73	313010
313035	38.590875	-121.287757	74	313035
313037	38.591754	-121.286292	75	313037
313055	38.631181	-121.216272	76	313055
313080	38.630481	-121.218031	77	313080
313082	38.631299	-121.216481	78	313082
313111	38.64038	-121.479262	79	313111
313114	38.640613	-121.477438	80	313114
313132	38.64122	-121.455363	81	313132
313144	38.523847	-121.467175	82	313144
313159	38.450246	-121.492176	83	313159
313166	38.423041	-121.394986	84	313166
313172	38.42605	-121.396344	85	313172
313178	38.431651	-121.398881	86	313178
313184	38.640566	-121.382245	87	313184
313190	38.409988	-121.38899	88	313190
313197	38.609724	-121.428528	89	313197
313204	38.611244	-121.426816	90	313204
313344	38.642282	-121.159267	91	313344
313349	38.642108	-121.155404	92	313349
313368	38.65368	-121.368403	93	313368
313376	38.654449	-121.366977	94	313376
313386	38.666974	-121.3541	95	313386
313393	38.666687	-121.353756	96	313393
313405	38.674709	-121.345726	97	313405
313406	38.674358	-121.345413	98	313406
313414	38.687909	-121.331274	99	313414
313420	38.687489	-121.331079	100	313420
313426	38.6934	-121.325241	655	313426
313432	38.692953	-121.325094	656	313432
313438	38.705474	-121.311953	101	313438
313444	38.705005	-121.311973	102	313444
313450	38.707666	-121.309534	103	313450
313456	38.707199	-121.30959	104	313456
313468	38.713156	-121.303518	105	313468
313469	38.712665	-121.303606	106	313469
313475	38.718633	-121.297486	107	313475
313482	38.718133	-121.297626	108	313482
313487	38.638915	-121.402197	109	313487
313493	38.72404	-121.291349	110	313493
313512	38.726237	-121.288936	111	313512
